subdomain,http_status,server_header,open_ports,cors_issues,fingerprints,takeover_risks
account.bkash.com,404,cloudflare,,,"{""server"":""cloudflare""}",
autodiscover.bkash.com,0,,,,,
bgate.bkash.com,403,cloudflare,,,"{""server"":""cloudflare""}",
bk-qep.bkash.com,0,,,,,
bkash.com,403,cloudflare,,,"{""server"":""cloudflare""}",
blockbuster.movies.bkash.com,503,awselb/2.0,,,"{""server"":""awselb/2.0""}",
blockbuster.uatmovies.bkash.com,503,awselb/2.0,,,"{""server"":""awselb/2.0""}",
business.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
card.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
ccbp-cblamex.bkash.com,0,,,,,
directcharge.payment.bkash.com,200,AmazonS3,,,"{""server"":""AmazonS3"",""via"":""1.1 eb61a6f62d9d06e0967f2c75dc218372.cloudfront.net (CloudFront)""}",
disbursement.bkash.com,200,cloudflare,,,"{""server"":""cloudflare""}",
exoos.bkash.com,0,,,,,
fold.bkash.com,200,,,,"{""x-request-id"":""7b3b4d21-feec-4c82-a33d-717504310d5e"",""framework"":""angular""}",
geo.bkash.com,200,cloudflare,,,"{""server"":""cloudflare"",""framework"":""react""}",
gw.bkash.com,0,,,,,
im.bkash.com,0,,,,,
livechat.bkash.com,403,cloudflare,,,"{""server"":""cloudflare""}",
lyncdiscover.bkash.com,530,cloudflare,,,"{""server"":""cloudflare""}",
mail.bkash.com,0,,,,,
merchantportal.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""server"":""AmazonS3"",""via"":""1.1 8c94305293b8d7f93f97ee3086e82daa.cloudfront.net (CloudFront)""}",
mta-sts.bkash.com,403,AmazonS3,,,"{""via"":""1.1 ed56247dd32d1f3f77d72a82c840f500.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
partner.bkash.com,404,cloudflare,,,"{""server"":""cloudflare""}",
partnerportal.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
pay.bkash.com,403,cloudflare,,,"{""server"":""cloudflare""}",
payment.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""server"":""AmazonS3"",""via"":""1.1 dd24612b0e0b0177708a737d8ace576e.cloudfront.net (CloudFront)""}",
paymentoffer.bkash.com,0,,,,,
pgw-integration.bkash.com,403,CloudFront,,,,
ref.bkash.com,200,cloudflare,,,"{""server"":""cloudflare"",""framework"":""laravel""}",
rms.bkash.com,200,cloudflare,,,"{""server"":""cloudflare""}",
sandboxdc.payment.bkash.com,200,AmazonS3,,,"{""via"":""1.1 ab18d80411d418596fdc7a546bbd23fc.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
shop.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
sip.bkash.com,530,cloudflare,,,"{""server"":""cloudflare""}",
support.pgw-int.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""server"":""AmazonS3"",""via"":""1.1 e1f2e5fc501eb28c0ba03ec8fd956fba.cloudfront.net (CloudFront)""}",
uat-ccbp-cblamex.bkash.com,0,,,,,
uatbusiness.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
uatcard.bkash.com,404,,,,,
uatdc.payment.bkash.com,200,AmazonS3,,,"{""via"":""1.1 e86c3287faa5ab0f2ebe33f3b1486ca8.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
uatgeo.bkash.com,503,awselb/2.0,,,"{""server"":""awselb/2.0""}",
uatmerchantportal.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""via"":""1.1 2292be0f38a3235417f498559c101624.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
uatpartnerportal.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
uatshop.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
visacard.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
webmail.bkash.com,0,,,,,
